checked_at,activation_code,aoi_number,aoi_name,product_key,product_type,version_number,status_code,image_uuid,image_new,sensor_type,sensor_name,resolution_class,acquisition_time,file_name,cog_url,http_status,content_type,content_length,accept_ranges,range_status,range_ok,official_status,should_use_for_building_vlm,use_case,error
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_v1,GRA,1,F,826238ba-3dd2-45ec-bd53-ee8afad85b4b,True,optical,Legion,VHR1,2026-06-25T20:36:00,EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO_cog.tif,200,binary/octet-stream,311844612,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,7,Puerto Cabello,AOI07_GRA_v1,GRA,1,N,0d261f7c-4054-4bd2-87a5-de0828322c37,True,optical,Legion,VHR1,2026-06-26T14:03:00,EMSR884_AOI07_GRA_PRODUCT_LEGION_20260626_1403_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI07/GRA_PRODUCT/EMSR884_AOI07_GRA_PRODUCT_LEGION_20260626_1403_ORTHO_cog.tif,200,binary/octet-stream,470258272,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,7,Puerto Cabello,AOI07_GRA_MONIT01_v1,GRA,1,N,2a90d5db-71b0-41a7-8458-3a54246fde83,True,optical,Legion,VHR1,2026-06-27T15:16:00,EMSR884_AOI07_GRA_MONIT01_LEGION_20260627_1516_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI07/GRA_MONIT01/EMSR884_AOI07_GRA_MONIT01_LEGION_20260627_1516_ORTHO_cog.tif,200,binary/octet-stream,718023496,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,6b6975aa-f3e8-4de7-b944-08286e3bc2ea,True,optical,Pleiades Neo,VHR1,2026-06-25T15:00:00,EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO_cog.tif,200,binary/octet-stream,222077456,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,80c185b6-1675-47d7-a2ac-7bce58dc533e,True,optical,Legion,VHR1,2026-06-25T20:37:00,EMSR884_AOI08_GRA_PRODUCT_LEGION_20260625_2037_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_LEGION_20260625_2037_ORTHO_cog.tif,200,binary/octet-stream,271918321,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,1b124e77-c4fd-46f7-ab7c-d6357552e05e,True,optical,Pleiades Neo,VHR1,2026-06-26T15:18:00,EMSR884_AOI08_GRA_MONIT01_PNEO_20260626_1518_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_PNEO_20260626_1518_ORTHO_cog.tif,200,binary/octet-stream,281758142,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,88b6dfa1-5287-434a-8496-22fe02e40269,True,optical,Legion,VHR1,2026-06-26T20:20:00,EMSR884_AOI08_GRA_MONIT01_LEGION_20260626_2020_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_LEGION_20260626_2020_ORTHO_cog.tif,200,binary/octet-stream,211884738,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,9,Valencia,AOI09_GRA_v1,GRA,1,N,3c9f21ae-40d3-4adc-b266-f5535e880bfd,True,optical,Legion,VHR1,2026-06-26T14:04:00,EMSR884_AOI09_GRA_PRODUCT_LEGION_20260626_1404_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI09/GRA_PRODUCT/EMSR884_AOI09_GRA_PRODUCT_LEGION_20260626_1404_ORTHO_cog.tif,200,binary/octet-stream,1102729826,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,10,Guacara,AOI10_GRA_v1,GRA,1,N,3f01cb0c-bb04-49c0-b204-528380015f4e,True,optical,Pleiades Neo,VHR1,2026-06-25T14:59:00,EMSR884_AOI10_GRA_PRODUCT_PNEO_20260625_1459_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI10/GRA_PRODUCT/EMSR884_AOI10_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,200,binary/octet-stream,706216767,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,11,Villa de Cura,AOI11_GRA_v1,GRA,1,N,14e02d02-d005-4b87-a843-add7548321d9,True,optical,Pleiades Neo,VHR1,2026-06-26T15:19:00,EMSR884_AOI11_GRA_PRODUCT_PNEO_20260626_1519_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI11/GRA_PRODUCT/EMSR884_AOI11_GRA_PRODUCT_PNEO_20260626_1519_ORTHO_cog.tif,200,binary/octet-stream,955020223,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,e5f11e9b-e597-478c-be95-b7f0651d565e,True,optical,Legion,VHR1,2026-06-26T15:10:00,EMSR884_AOI12_GRA_PRODUCT_LEGION_20260626_1510_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_LEGION_20260626_1510_ORTHO_cog.tif,200,binary/octet-stream,916351360,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_MONIT01_v1,GRA,1,F,9ca2ccac-7240-4d8c-acd9-df55f2f672f1,True,optical,Legion,VHR1,2026-06-26T15:10:00,EMSR884_AOI12_GRA_MONIT01_LEGION_20260626_1510_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_LEGION_20260626_1510_ORTHO_cog.tif,200,binary/octet-stream,916351360,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
